
P1_elbow_lP1_whole_dist_traveled	P1_shoulder_lP1_whole_dist_traveled	P1_headP1_whole_dist_traveled	P1_hand_lP1_whole_dist_traveled	P1_hand_rP1_whole_dist_traveled	P1_elbow_rP1_whole_dist_traveled	P1_shoulder_rP1_whole_dist_traveled
111.762	60.311	160.747	410.442	386.423	94.627	47.029
112.031	60.518	163.520	411.575	387.676	95.306	47.322
112.234	60.518	166.401	412.727	388.701	95.896	48.176
112.483	60.518	169.413	413.724	389.774	96.431	48.176
112.742	60.518	172.460	414.422	390.628	96.845	48.560
112.989	60.760	175.514	414.991	391.215	97.116	48.560
113.202	60.760	178.569	415.570	391.606	97.116	48.851
113.202	61.111	181.593	416.165	392.018	97.438	49.361
113.442	61.343	184.567	416.731	392.508	97.826	49.361
113.442	61.545	187.523	417.320	393.121	98.297	49.361
113.706	61.747	190.519	417.975	393.591	98.724	49.361
113.706	61.972	193.456	418.777	394.095	99.086	49.361
114.120	61.972	196.448	419.363	394.570	99.353	49.361
114.387	62.329	199.501	419.743	395.095	99.575	49.670
114.685	62.329	202.479	420.137	395.590	99.575	49.670
114.930	62.721	205.512	420.584	396.011	99.575	50.013
115.184	62.943	208.412	421.056	396.389	99.575	50.013
115.444	63.169	211.264	421.543	396.722	99.575	50.392
115.444	63.399	214.082	422.088	397.028	99.575	50.392
115.767	63.399	216.868	422.724	397.340	99.575	50.718
115.767	63.723	219.659	423.392	397.722	99.575	50.718
116.044	63.723	222.441	424.025	398.082	99.575	50.718
116.044	63.723	225.176	424.600	398.487	99.575	50.718
116.363	63.959	227.957	425.251	398.956	99.942	50.718
116.575	63.959	230.787	425.928	399.536	100.174	50.952
116.775	63.959	233.651	426.569	400.169	100.445	50.952
116.982	63.959	236.571	427.227	400.788	100.715	51.228
117.227	64.181	239.565	427.986	401.566	101.033	51.228
117.504	64.181	242.692	428.783	402.290	101.378	51.571
117.722	64.181	245.861	429.691	403.157	101.633	51.571
118.009	64.181	248.895	430.732	403.937	101.929	51.571
118.339	64.457	251.868	431.639	404.702	102.133	51.812
118.721	64.457	254.697	432.617	405.655	102.376	51.812
119.094	64.877	257.482	433.641	406.605	102.681	52.063
119.487	65.086	260.132	434.674	407.116	102.984	52.272
119.833	65.086	262.711	435.680	407.668	103.307	52.572
120.109	65.403	265.207	436.585	408.164	103.591	52.878
120.325	65.403	267.737	437.338	408.706	103.899	53.261
120.325	65.696	270.083	437.970	409.281	104.159	53.542
120.542	65.696	272.347	438.531	409.911	104.365	53.797
120.542	66.016	274.443	438.531	410.536	104.584	53.998
120.542	66.016	276.627	438.977	411.114	104.791	54.201
120.542	66.335	278.593	439.266	411.618	104.791	54.201
