Head_X	Head_Y	Head_Z	LHand_X	LHand_Y	LHand_Z	RHand_X	RHand_Y	RHand_Z
35.314	30.672	19.502	2.641	7.942	8.321	2.807	2.465	17.023
36.327	31.315	20.423	3.112	8.833	9.388	2.807	2.465	18.668
37.498	32.054	21.438	3.336	9.808	10.321	2.807	2.736	20.539
38.797	32.748	22.431	3.588	10.663	11.794	2.807	2.736	22.592
40.121	33.587	23.569	3.907	11.568	13.733	3.215	2.736	24.937
41.656	34.447	24.608	4.261	12.376	16.110	3.895	2.736	27.722
43.182	35.372	25.798	4.718	12.881	19.194	4.773	2.736	30.989
44.834	36.149	26.881	5.338	12.881	23.040	5.872	2.736	34.761
46.417	37.039	28.085	5.542	12.881	28.406	7.186	2.736	39.017
48.149	37.837	29.163	6.688	13.454	33.670	8.657	2.736	43.764
49.826	38.653	30.209	8.330	14.433	39.627	10.442	3.085	49.081
51.473	39.464	31.264	9.961	15.743	46.354	12.326	3.337	54.808
53.137	40.128	32.447	12.396	17.249	53.813	14.297	3.337	60.932
54.478	41.048	33.630	14.704	19.033	61.944	16.539	3.629	67.386
56.063	41.811	34.540	16.996	21.795	70.621	18.986	3.629	74.209
57.504	42.461	35.300	19.851	23.863	79.660	21.766	3.629	81.292
58.955	43.203	36.031	22.994	26.168	88.900	24.838	4.119	88.457
60.276	43.839	36.678	26.361	28.278	98.301	27.845	4.697	96.097
61.536	44.510	37.254	29.928	30.790	107.672	31.455	5.520	103.723
62.736	45.164	37.823	34.023	32.853	116.906	35.557	6.282	111.305
63.804	45.762	38.337	38.387	35.070	125.896	39.758	7.360	119.082
64.828	46.339	38.795	43.296	37.593	134.465	44.089	8.463	126.666
65.739	46.902	39.175	48.442	39.966	142.717	48.837	10.100	134.529
66.578	47.452	39.553	53.829	42.439	150.716	53.708	11.634	142.134
67.285	47.918	39.881	59.395	44.862	158.417	58.864	13.504	149.615
67.899	48.331	40.137	65.010	47.439	165.671	63.878	15.143	156.563
68.399	48.667	40.137	70.512	50.001	172.279	69.196	17.158	163.530
68.781	48.995	40.486	76.004	52.696	178.341	74.427	19.213	170.087
69.135	49.329	40.486	81.277	55.672	183.611	79.609	21.213	176.276
69.398	49.672	40.486	86.229	58.702	188.321	84.839	23.025	181.977
69.398	50.014	40.688	90.043	62.160	192.006	89.982	24.822	187.223
69.646	50.338	40.688	94.519	65.439	195.757	94.744	26.462	191.762
69.646	50.635	40.688	98.488	68.826	199.028	99.424	27.855	195.967
69.646	50.894	40.688	102.191	72.337	202.015	103.817	28.963	199.838
69.646	51.105	41.017	105.572	75.911	204.399	108.160	29.877	203.200
69.976	51.333	41.017	108.374	79.731	206.534	112.343	30.413	206.209
70.212	51.333	41.462	110.963	83.716	208.426	116.492	30.736	208.884
70.453	51.668	41.739	113.132	87.698	209.992	120.690	30.736	211.342
70.692	51.668	42.076	115.264	91.888	211.633	124.739	30.736	213.467
70.964	51.972	42.409	116.829	95.990	212.937	128.792	31.444	215.285
