P1_pos_hand_l	P1_pos_hand_r
799.179	782.884
799.176	782.863
799.159	782.859
799.150	782.859
799.143	782.864
799.144	782.870
799.140	782.903
799.137	782.906
799.138	782.896
799.132	782.908
799.124	782.898
799.122	782.888
799.118	782.884
799.113	782.893
799.103	782.904
799.099	782.893
799.099	782.884
799.100	782.876
799.112	782.847
799.101	782.885
799.097	782.882
799.118	782.879
799.152	782.908
799.229	782.889
799.403	782.880
799.821	782.886
800.532	782.882
801.557	782.882
803.178	782.872
805.377	782.861
808.620	782.845
813.056	782.811
818.984	782.764
826.643	782.732
835.632	782.705
845.779	782.692
856.607	782.669
868.077	782.667
880.440	782.658
892.831	782.767
905.970	782.492
919.112	782.530
932.064	782.567
944.485	782.515
956.273	782.526
967.973	782.652
978.861	782.500
988.735	782.508
997.349	782.559
1005.333	782.640
1012.114	782.676
1017.826	782.733
1022.641	782.785
1026.678	782.839
1029.842	782.901
1031.998	782.936
1033.746	782.946
1034.316	782.946
1033.649	782.940
1032.414	782.939
1029.688	782.896
1025.859	782.868
1021.124	782.848
1015.530	782.802
1009.557	782.785
1003.284	782.758
996.738	782.778
990.900	782.757
985.394	782.763
980.788	782.655
976.862	782.766
973.518	782.784
970.526	782.671
967.688	782.759
964.288	782.653
961.004	782.813
957.133	782.917
953.040	783.004
948.260	783.062
942.863	783.113
937.254	783.146
930.983	783.151
924.266	783.152
917.348	783.181
910.173	783.433
902.651	783.763
894.881	783.684
887.065	784.171
879.117	783.980
871.397	783.959
864.205	783.988
857.495	783.955
850.400	783.949
