P1_head_pos_head_X	P1_head_pos_head_Y	P1_head_pos_head_Z
-79.179	17.193	1251.035
-78.783	17.331	1250.909
-78.394	17.464	1250.745
-77.918	17.641	1250.538
-77.405	17.784	1250.309
-76.939	17.960	1250.045
-76.496	18.152	1249.789
-76.107	18.356	1249.471
-75.645	18.614	1249.131
-75.249	18.829	1248.825
-74.907	19.066	1248.562
-74.582	19.299	1248.297
-74.346	19.497	1248.095
-74.135	19.674	1247.835
-73.954	19.895	1247.626
-73.764	20.106	1247.412
-73.602	20.307	1247.253
-73.475	20.524	1247.132
-73.367	20.687	1247.026
-73.287	20.852	1246.924
-73.213	21.003	1246.827
-73.158	21.140	1246.735
-73.090	21.299	1246.644
-73.040	21.437	1246.534
-72.983	21.579	1246.437
-72.926	21.718	1246.335
-72.891	21.841	1246.228
-72.880	21.937	1246.138
-72.864	22.057	1246.054
-72.853	22.163	1245.975
-72.872	22.224	1245.913
-72.889	22.306	1245.853
-72.897	22.368	1245.783
-72.937	22.454	1245.717
-72.977	22.511	1245.678
-72.986	22.591	1245.606
-73.031	22.655	1245.544
-73.046	22.713	1245.472
-73.066	22.793	1245.397
-73.082	22.870	1245.321
-73.104	22.938	1245.213
-73.104	22.979	1245.150
-73.110	23.047	1245.067
-73.113	23.083	1244.986
-73.113	23.115	1244.919
-73.126	23.134	1244.867
-73.134	23.144	1244.812
-73.130	23.152	1244.768
-73.128	23.157	1244.705
-73.121	23.161	1244.632
-73.091	23.126	1244.560
-73.062	23.106	1244.498
-73.022	23.079	1244.445
-72.985	23.016	1244.390
-72.940	22.940	1244.343
-72.868	22.867	1244.300
-72.799	22.775	1244.245
-72.713	22.639	1244.189
-72.586	22.500	1244.142
-72.458	22.350	1244.072
-72.314	22.198	1243.995
-72.172	21.986	1243.914
-72.012	21.818	1243.854
-71.867	21.625	1243.774
-71.735	21.443	1243.697
-71.589	21.185	1243.631
-71.434	20.960	1243.525
-71.257	20.705	1243.424
-71.047	20.352	1243.284
-70.946	19.907	1243.093
-70.793	19.498	1243.041
-70.701	19.029	1243.010
-70.493	18.627	1242.896
-70.246	18.193	1242.846
-70.065	17.661	1242.806
-69.893	17.076	1242.740
-69.738	16.457	1242.691
-69.590	15.876	1242.621
-69.376	15.270	1242.550
-69.157	14.622	1242.518
-68.961	13.933	1242.505
-68.796	13.300	1242.438
-68.593	12.656	1242.344
-68.325	11.917	1242.252
-68.111	11.235	1242.223
-67.928	10.627	1242.161
-67.712	10.029	1242.068
-67.500	9.431	1241.985
-67.325	8.762	1241.873
-67.145	8.187	1241.766
-67.003	7.611	1241.658
-66.838	6.941	1241.593
-66.710	6.290	1241.526
-66.374	5.450	1241.639
-66.262	4.814	1241.517
-66.173	4.156	1241.410
-66.046	3.444	1241.314
-65.934	2.799	1241.220
-65.835	2.226	1241.156
-65.723	1.644	1241.055
-65.668	0.975	1240.965
-65.596	0.399	1240.844
-65.504	-0.128	1240.712
-65.388	-0.630	1240.625
-65.303	-1.092	1240.573
-65.240	-1.516	1240.503
-65.408	-2.276	1240.358
-65.342	-2.645	1240.304
-65.288	-3.009	1240.246
-65.259	-3.338	1240.200
-65.233	-3.601	1240.157
-65.218	-3.886	1240.135
-65.228	-4.184	1240.108
-65.241	-4.461	1240.131
-65.259	-4.702	1240.132
-65.296	-4.968	1240.153
-65.293	-5.211	1240.174
-65.329	-5.420	1240.209
-65.347	-5.663	1240.229
-65.357	-5.897	1240.238
-65.373	-6.123	1240.254
-65.402	-6.355	1240.294
-65.435	-6.582	1240.317
-65.466	-6.845	1240.357
-65.506	-7.092	1240.415
-65.542	-7.415	1240.464
-65.583	-7.722	1240.528
-65.610	-8.035	1240.593
-65.655	-8.373	1240.623
-65.672	-8.703	1240.659
-65.713	-9.019	1240.704
-65.750	-9.329	1240.725
-65.779	-9.642	1240.727
-65.807	-9.948	1240.728
-65.835	-10.233	1240.752
-65.853	-10.543	1240.744
-65.846	-10.846	1240.749
-65.833	-11.103	1240.751
-65.820	-11.333	1240.748
-65.817	-11.569	1240.723
-65.830	-11.797	1240.729
-65.837	-12.029	1240.742
-65.860	-12.281	1240.764
-65.889	-12.530	1240.817
-65.923	-12.796	1240.873
-65.965	-13.094	1240.921
-65.975	-13.436	1240.968
-65.982	-13.781	1240.993
-65.973	-14.136	1240.994
-65.975	-14.499	1241.003
-65.968	-14.894	1240.995
-65.984	-15.254	1240.971
-65.982	-15.644	1240.934
-65.981	-16.027	1240.875
-65.981	-16.457	1240.850
-65.988	-16.867	1240.822
-65.965	-17.307	1240.790
-65.958	-17.687	1240.779
-65.938	-18.084	1240.765
-65.933	-18.490	1240.726
-65.916	-18.856	1240.693
-65.900	-19.221	1240.668
-65.863	-19.594	1240.637
-65.808	-19.950	1240.578
-65.738	-20.284	1240.523
-65.659	-20.604	1240.449
-65.567	-20.923	1240.383
-65.494	-21.238	1240.287
-65.381	-21.506	1240.233
-65.281	-21.811	1240.188
-65.162	-22.087	1240.119
-65.054	-22.301	1240.063
-64.957	-22.498	1239.999
-64.855	-22.735	1239.928
-64.766	-22.887	1239.858
-64.661	-23.100	1239.784
-64.586	-23.309	1239.698
-64.492	-23.529	1239.619
-64.384	-23.768	1239.542
-64.268	-24.009	1239.434
-64.168	-24.225	1239.338
-64.045	-24.479	1239.232
-63.927	-24.728	1239.156
-63.819	-25.001	1239.066
-63.706	-25.236	1238.986
-63.587	-25.430	1238.872
-63.490	-25.616	1238.766
