P1_hands_dir_Distance_X	P1_hands_dir_Distance_Y	P1_hands_dir_Distance_Z
36.565	-130.884	1.178
36.606	-130.944	1.125
36.645	-130.983	1.097
36.653	-131.069	1.095
36.702	-131.096	1.106
36.701	-131.122	1.146
36.720	-131.124	1.202
36.744	-131.117	1.270
36.816	-131.083	1.335
36.866	-131.111	1.422
36.962	-131.120	1.498
37.037	-131.068	1.570
37.059	-131.125	1.667
37.107	-131.155	1.740
37.165	-131.229	1.801
37.187	-131.274	1.857
37.227	-131.284	1.886
37.326	-131.329	1.905
37.402	-131.324	1.909
37.487	-131.349	1.918
37.601	-131.300	1.896
37.718	-131.305	1.868
37.871	-131.283	1.887
37.979	-131.273	1.856
38.122	-131.280	1.821
38.223	-131.295	1.804
38.343	-131.321	1.791
38.489	-131.375	1.799
38.619	-131.385	1.746
38.774	-131.384	1.789
38.903	-131.364	1.766
39.073	-131.327	1.755
39.232	-131.290	1.759
39.288	-131.297	1.738
39.403	-131.295	1.732
39.462	-131.315	1.706
39.445	-131.324	1.713
39.447	-131.360	1.702
39.428	-131.358	1.705
39.384	-131.392	1.689
39.360	-131.387	1.659
39.354	-131.411	1.641
39.348	-131.426	1.622
39.376	-131.444	1.608
39.447	-131.424	1.587
39.518	-131.410	1.557
39.603	-131.428	1.503
39.663	-131.395	1.435
39.673	-131.366	1.418
39.662	-131.378	1.408
39.611	-131.385	1.384
39.564	-131.404	1.397
39.519	-131.446	1.394
39.460	-131.531	1.405
39.407	-131.556	1.418
39.380	-131.592	1.409
39.328	-131.637	1.394
39.295	-131.669	1.428
39.307	-131.670	1.421
39.307	-131.655	1.467
39.366	-131.638	1.476
39.433	-131.611	1.457
39.531	-131.636	1.464
39.579	-131.619	1.456
39.623	-131.640	1.450
39.644	-131.642	1.469
39.630	-131.682	1.487
39.603	-131.701	1.527
39.525	-131.733	1.551
39.512	-131.751	1.575
39.452	-131.778	1.619
39.434	-131.791	1.596
39.406	-131.820	1.619
39.377	-131.840	1.615
39.340	-131.833	1.674
39.297	-131.873	1.711
39.261	-131.853	1.793
39.175	-131.886	1.817
39.156	-131.907	1.857
39.117	-131.893	1.881
39.066	-131.956	1.906
39.048	-131.960	1.948
38.976	-131.977	2.048
38.934	-131.981	2.104
38.881	-132.048	2.066
38.892	-132.011	2.088
38.905	-132.013	2.098
38.945	-131.993	2.146
39.000	-131.998	2.181
39.066	-131.938	2.226
39.135	-131.944	2.246
39.217	-131.936	2.233
39.289	-131.919	2.234
39.307	-131.916	2.260
39.321	-131.908	2.276
39.308	-131.940	2.318
39.271	-131.936	2.347
39.246	-131.954	2.343
39.197	-131.966	2.342
39.168	-132.002	2.331
39.156	-132.009	2.324
39.164	-132.004	2.336
39.123	-132.015	2.349
39.119	-132.002	2.373
39.102	-132.004	2.367
39.062	-132.006	2.404
39.041	-132.013	2.391
38.939	-132.037	2.424
38.931	-132.061	2.421
38.891	-132.084	2.465
38.833	-132.099	2.431
38.801	-132.120	2.442
38.781	-132.163	2.471
38.728	-132.178	2.462
38.667	-132.184	2.508
38.623	-132.224	2.540
38.591	-132.194	2.539
38.555	-132.226	2.575
38.556	-132.211	2.578
38.562	-132.198	2.597
38.560	-132.168	2.633
38.588	-132.137	2.638
38.603	-132.092	2.646
38.633	-132.062	2.624
38.627	-132.063	2.638
38.627	-132.092	2.631
38.594	-132.078	2.654
38.577	-132.118	2.653
38.568	-132.131	2.677
38.550	-132.119	2.724
38.537	-132.141	2.730
38.586	-132.159	2.756
38.578	-132.119	2.778
38.588	-132.138	2.815
38.595	-132.095	2.860
38.619	-132.078	2.915
38.599	-132.069	2.968
38.585	-132.042	3.017
38.545	-132.065	3.071
38.522	-132.092	3.131
38.497	-132.106	3.183
38.445	-132.130	3.235
38.392	-132.162	3.280
38.336	-132.166	3.302
38.296	-132.202	3.342
38.251	-132.235	3.357
38.191	-132.242	3.362
38.170	-132.282	3.392
38.106	-132.296	3.377
38.058	-132.280	3.353
38.010	-132.315	3.348
37.952	-132.315	3.334
37.923	-132.329	3.293
37.904	-132.334	3.264
37.884	-132.345	3.209
37.905	-132.322	3.176
37.923	-132.372	3.137
37.909	-132.372	3.100
37.918	-132.373	3.077
37.881	-132.403	3.061
37.891	-132.404	3.033
37.890	-132.370	2.960
37.869	-132.397	2.961
37.883	-132.410	2.911
37.929	-132.440	2.856
37.925	-132.466	2.823
37.932	-132.497	2.790
37.964	-132.514	2.737
38.031	-132.530	2.648
38.105	-132.510	2.573
38.141	-132.493	2.478
38.255	-132.462	2.449
38.372	-132.466	2.323
38.470	-132.471	2.220
38.539	-132.430	2.110
38.630	-132.420	2.056
38.679	-132.489	1.957
38.676	-132.563	1.893
38.500	-132.712	1.731
38.299	-132.936	1.562
38.132	-133.082	1.416
38.030	-133.295	1.268
37.691	-133.550	1.080
37.446	-133.828	1.010
37.163	-133.842	0.929
36.818	-133.992	0.747
36.688	-134.182	0.624
36.400	-134.344	0.542
36.265	-134.582	0.309
36.262	-134.760	0.060
36.102	-135.021	-0.191
36.250	-135.218	-0.398
36.265	-135.461	-0.653
36.363	-135.593	-0.868
36.403	-135.835	-1.013
36.500	-135.974	-1.263
36.620	-136.406	-1.374
36.560	-136.747	-1.659
36.537	-137.493	-1.668
36.550	-138.138	-1.810
36.233	-138.919	-1.659
35.896	-139.689	-1.673
35.551	-140.474	-1.683
35.443	-141.163	-1.657
35.277	-142.115	-1.713
35.288	-142.927	-1.843
35.203	-144.009	-1.837
35.321	-145.103	-1.989
35.312	-146.464	-2.147
35.182	-147.822	-2.170
35.818	-149.174	-2.279
36.021	-151.092	-2.315
36.247	-153.076	-2.304
36.633	-155.116	-2.364
36.901	-157.103	-2.270
37.233	-159.765	-2.025
37.669	-161.656	-1.949
38.451	-163.567	-1.809
39.342	-165.375	-1.785
40.268	-166.965	-2.217
41.921	-168.740	-2.542
43.533	-170.439	-3.262
45.348	-172.040	-4.113
47.212	-173.600	-5.086
49.612	-175.472	-5.830
52.000	-176.933	-7.210
54.259	-178.348	-8.671
57.032	-180.074	-11.253
59.802	-180.859	-13.274
62.155	-181.919	-15.478
64.730	-183.144	-17.538
67.072	-184.312	-19.379
69.413	-184.633	-21.665
71.708	-185.033	-24.131
73.588	-185.868	-26.120
