P1_hand_lP1_hands_pos_X	P1_hand_lP1_hands_pos_Y	P1_hand_lP1_hands_pos_Z	P1_hand_rP1_hands_pos_X	P1_hand_rP1_hands_pos_Y	P1_hand_rP1_hands_pos_Z
-117.998	91.361	990.903	-58.478	-52.947	994.892
-117.759	92.179	991.212	-58.163	-53.527	995.279
-117.452	93.052	991.530	-57.316	-53.934	995.440
-116.981	93.921	991.797	-56.973	-54.803	995.612
-116.419	94.752	992.043	-56.682	-55.204	995.736
-115.751	95.482	992.226	-56.165	-55.390	995.688
-115.122	96.130	992.285	-55.697	-55.470	995.542
-114.581	96.654	992.280	-55.184	-55.465	995.368
-114.134	97.099	992.241	-54.663	-55.491	995.126
-113.747	97.502	992.191	-54.175	-55.267	994.795
-113.634	97.373	992.200	-53.690	-55.002	994.506
-113.334	97.626	992.079	-53.249	-54.739	994.239
-113.195	97.856	991.970	-52.900	-54.526	993.944
-113.176	98.055	991.803	-52.558	-54.341	993.686
-113.237	98.301	991.672	-52.198	-54.156	993.447
-113.353	98.470	991.516	-51.787	-54.066	993.306
-113.492	98.645	991.410	-51.428	-54.025	993.253
-113.673	98.840	991.304	-50.953	-53.588	993.269
-113.822	99.036	991.207	-50.619	-53.669	993.319
-113.961	99.269	991.144	-50.240	-53.811	993.397
-114.076	99.546	991.154	-49.767	-53.888	993.488
-114.175	99.866	991.216	-49.393	-53.948	993.582
-114.211	100.199	991.291	-49.071	-54.041	993.625
-114.175	100.589	991.394	-48.711	-54.042	993.693
-114.170	101.068	991.555	-48.292	-54.040	993.724
-114.159	101.602	991.753	-47.813	-54.009	993.737
-114.178	102.173	992.024	-47.454	-53.977	993.718
-114.304	102.730	992.273	-47.179	-53.975	993.664
-114.447	103.300	992.546	-46.938	-53.986	993.620
-114.573	103.861	992.798	-46.739	-54.034	993.540
-114.696	104.314	992.955	-46.605	-54.101	993.451
-114.857	104.651	992.965	-46.514	-54.125	993.325
-115.058	104.882	992.917	-46.417	-54.164	993.195
-115.298	105.069	992.769	-46.306	-54.212	993.057
-115.593	105.220	992.530	-46.192	-54.312	992.981
-115.759	105.349	992.264	-46.055	-54.428	992.900
-115.912	105.507	992.027	-45.922	-54.566	992.811
-116.081	105.632	991.826	-45.797	-54.680	992.765
-116.194	105.783	991.659	-45.674	-54.831	992.751
-116.272	105.883	991.518	-45.572	-54.989	992.703
-116.285	105.961	991.425	-45.492	-55.071	992.664
-116.245	105.974	991.262	-45.442	-55.134	992.628
-116.112	105.961	991.148	-45.441	-55.116	992.545
-115.914	105.891	990.995	-45.423	-55.041	992.393
-115.613	105.797	990.886	-45.451	-54.912	992.250
-115.335	105.660	990.768	-45.495	-54.803	992.110
-115.072	105.511	990.673	-45.545	-54.663	991.994
-114.802	105.361	990.565	-45.567	-54.529	991.883
-114.530	105.198	990.422	-45.566	-54.316	991.743
-114.222	104.983	990.176	-45.556	-54.078	991.578
-113.987	104.691	989.910	-45.548	-53.818	991.384
-113.802	104.350	989.562	-45.541	-53.481	991.179
-113.672	103.983	989.245	-45.530	-53.101	990.955
-113.615	103.572	988.968	-45.554	-52.668	990.694
-113.503	103.184	988.698	-45.567	-52.188	990.400
-113.318	102.749	988.415	-45.549	-51.656	990.096
-113.124	102.280	988.132	-45.494	-51.042	989.736
-112.864	101.816	987.756	-45.431	-50.460	989.362
-112.464	101.344	987.300	-45.375	-49.777	988.915
-111.969	100.894	986.770	-45.369	-48.970	988.521
-111.479	100.439	986.283	-45.303	-48.256	988.084
-111.030	99.939	985.720	-45.167	-47.499	987.695
-110.397	99.407	985.019	-45.003	-46.693	987.271
-109.809	98.887	984.382	-44.847	-45.895	986.744
-109.145	98.428	983.799	-44.792	-45.173	986.308
-108.585	98.056	983.377	-44.694	-44.458	985.899
-107.935	97.748	982.992	-44.587	-43.746	985.555
-107.303	97.512	982.718	-44.455	-43.204	985.394
