P6_elbow_lP6_whole_dist_traveled	P6_shoulder_lP6_whole_dist_traveled	P6_shoulder_rP6_whole_dist_traveled	P6_elbow_rP6_whole_dist_traveled	P6_headP6_whole_dist_traveled	P6_hand_rP6_whole_dist_traveled	P6_hand_lP6_whole_dist_traveled
123.870	63.397	55.355	99.923	168.236	133.139	75.879
123.870	63.776	55.355	99.923	169.089	133.347	75.879
124.138	63.776	55.650	99.923	169.813	133.347	76.107
124.138	64.017	55.650	100.213	170.411	133.347	76.107
124.364	64.017	55.931	100.213	170.977	133.559	76.107
124.364	64.017	55.931	100.423	171.478	133.559	76.349
124.633	64.301	56.163	100.423	171.891	133.559	76.578
124.633	64.301	56.163	100.714	172.280	133.559	76.578
124.847	64.535	56.163	100.714	172.586	133.818	76.578
124.847	64.535	56.404	100.969	172.586	133.818	76.850
124.847	64.535	56.404	100.969	172.919	133.818	76.850
124.847	64.796	56.404	101.254	172.919	133.818	76.850
125.103	64.796	56.404	101.254	172.919	133.818	77.083
125.103	64.796	56.633	101.682	172.919	134.078	77.083
125.356	64.796	56.633	101.682	172.919	134.078	77.083
125.356	65.019	56.633	102.085	172.919	134.315	77.364
125.784	65.019	56.934	102.328	172.919	134.315	77.618
126.048	65.019	56.934	102.621	173.175	134.662	77.618
126.367	65.250	57.149	103.039	173.175	134.925	77.889
126.803	65.250	57.149	103.481	173.377	135.260	78.120
127.325	65.250	57.149	103.844	173.377	135.703	78.120
127.815	65.250	57.441	104.465	173.579	136.298	78.610
128.294	65.452	57.441	105.097	173.579	136.963	78.990
128.873	65.452	57.720	105.695	173.809	137.719	79.399
129.633	65.452	57.720	106.370	173.809	138.457	79.950
130.272	65.683	58.106	106.997	174.117	139.223	80.600
130.879	65.683	58.342	107.701	174.117	139.957	81.269
131.607	65.909	58.597	108.289	174.319	140.401	82.014
132.183	65.909	58.833	108.793	174.319	140.681	82.726
132.697	66.181	59.071	109.273	174.319	140.994	83.353
133.135	66.181	59.310	109.545	174.546	141.548	83.913
133.482	66.484	59.549	109.746	174.546	142.063	84.306
133.760	66.484	59.549	109.746	174.546	142.624	84.678
133.999	66.717	59.920	109.947	174.793	143.119	85.080
133.999	66.717	59.920	109.947	174.793	143.468	85.554
134.385	66.717	59.920	109.947	174.793	143.468	85.911
134.385	66.972	59.920	110.205	175.045	143.763	86.140
134.788	66.972	59.920	110.205	175.045	144.007	86.140
135.044	67.174	59.920	110.671	175.250	144.244	86.430
135.417	67.174	60.435	111.025	175.250	144.487	86.430
135.894	67.413	60.435	111.369	175.250	144.487	86.807
136.446	67.413	60.668	111.796	175.527	144.783	86.807
137.103	67.644	60.668	112.154	175.527	144.783	87.154
137.790	67.644	60.668	112.556	175.527	145.046	87.154
138.498	67.862	60.898	112.925	175.739	145.046	87.575
139.252	67.862	61.254	113.231	175.739	145.046	87.808
140.109	68.086	61.616	114.136	175.966	145.303	87.808
140.781	68.086	61.982	114.941	175.966	145.303	88.082
141.303	68.393	62.330	114.941	176.297	145.303	88.082
141.759	68.605	62.330	114.941	176.297	145.585	88.082
142.046	68.896	62.576	115.847	176.668	145.585	88.082
142.046	69.230	62.576	116.049	176.668	145.897	88.082
142.046	69.559	62.876	116.347	177.047	145.897	88.082
142.046	69.879	62.876	116.692	177.249	145.897	88.082
142.046	70.195	63.101	117.540	177.249	146.166	88.082
142.475	70.439	63.101	117.911	177.577	146.166	88.082
142.777	70.439	63.313	118.243	177.577	146.166	88.082
143.061	70.749	63.313	118.608	177.801	146.484	88.282
143.354	70.749	63.537	118.895	177.801	146.484	88.282
143.671	70.749	63.537	119.148	177.801	146.841	88.282
143.968	70.749	63.780	119.148	177.801	147.083	88.282
144.272	71.019	63.780	119.454	177.801	147.339	88.282
144.485	71.019	64.015	119.454	177.801	147.591	88.282
144.485	71.444	64.015	119.454	177.801	147.859	88.282
144.818	71.660	64.015	119.454	178.028	147.859	88.282
144.818	71.921	64.287	119.454	178.028	148.149	88.568
145.079	72.221	64.287	119.673	178.028	148.149	88.568
145.079	72.469	64.668	119.673	178.241	148.355	88.795
145.399	72.733	64.668	119.920	178.241	148.355	88.795
145.399	72.733	64.668	120.122	178.241	148.355	88.795
145.762	73.055	64.882	120.364	178.241	148.656	89.013
145.980	73.055	64.882	120.587	178.501	148.656	89.013
146.224	73.266	64.882	120.816	178.501	148.873	89.013
146.449	73.266	65.151	121.023	178.752	148.873	89.257
146.679	73.266	65.151	121.226	178.752	149.079	89.257
146.936	73.266	65.590	121.439	179.104	149.079	89.257
147.176	73.498	65.590	121.439	179.104	149.308	89.498
147.419	73.498	65.590	121.802	179.536	149.308	89.498
147.638	73.753	65.797	121.802	179.781	149.308	89.498
147.638	73.753	65.797	122.087	179.997	149.308	89.761
148.011	74.089	65.797	122.087	180.220	149.577	89.761
148.011	74.089	66.002	122.351	180.479	149.577	89.761
148.293	74.437	66.002	122.351	180.479	150.013	89.761
148.293	74.437	66.002	122.351	180.867	150.013	89.982
148.293	74.706	66.223	122.562	181.079	150.411	89.982
148.293	74.706	66.223	122.808	181.079	150.654	89.982
148.293	74.706	66.223	122.808	181.354	150.903	89.982
148.512	74.947	66.454	123.195	181.354	151.186	89.982
148.738	74.947	66.454	123.451	181.354	151.549	90.186
149.000	74.947	66.679	123.748	181.597	151.852	90.186
149.331	74.947	66.679	124.064	181.597	152.165	90.186
149.811	74.947	67.249	124.388	181.839	152.415	90.186
150.379	74.947	67.489	124.849	181.839	152.619	90.186
150.947	75.157	67.794	125.315	182.120	152.826	90.444
151.531	75.360	68.146	125.846	182.120	153.128	90.444
152.231	75.679	68.622	126.517	182.401	153.450	90.444
153.020	76.142	69.133	127.348	182.401	153.903	90.444
153.776	76.756	69.718	128.294	182.666	154.366	90.665
154.730	77.508	70.392	129.253	182.666	154.748	90.665
155.709	78.410	70.972	130.253	182.948	155.175	90.665
156.799	79.381	71.698	131.381	182.948	155.694	90.984
