Head	RHand	LHand
4.575	48.215	5.740
4.614	41.523	6.706
5.080	32.403	5.845
4.859	24.648	6.935
4.331	19.624	7.747
4.517	15.534	8.027
3.837	8.400	8.014
4.434	3.762	6.171
4.097	2.037	4.841
5.307	2.582	4.433
4.186	4.093	2.925
5.078	0.657	3.336
6.338	3.996	4.393
5.545	6.424	6.041
5.706	7.253	8.759
5.784	6.312	10.445
5.291	5.944	10.161
5.183	6.791	8.763
6.198	8.295	6.933
5.481	7.660	6.978
6.269	2.214	7.818
7.483	3.674	9.268
7.567	9.676	11.945
7.218	15.362	12.246
7.348	12.425	12.995
7.586	12.131	13.356
7.401	14.733	13.547
6.691	11.923	10.234
7.210	11.462	8.141
6.458	13.711	7.918
5.813	23.490	4.831
5.816	38.115	4.879
6.735	46.057	7.335
11.606	64.937	7.766
11.377	84.104	9.036
8.381	75.487	12.065
9.390	112.467	13.416
8.786	122.642	15.593
7.694	76.105	17.265
7.663	66.414	16.444
6.429	66.923	13.653
6.914	57.139	7.597
8.187	42.933	8.209
6.920	43.223	10.333
6.559	46.135	11.769
6.009	44.554	10.646
5.849	40.218	8.215
6.454	34.079	8.805
7.346	31.516	9.067
7.569	26.955	6.499
9.101	22.199	6.110
11.311	20.650	6.996
11.412	17.944	5.887
12.799	17.080	4.273
15.001	21.704	2.654
15.153	25.807	6.442
13.767	34.072	14.754
14.189	45.053	24.879
13.134	47.006	32.424
11.341	43.184	31.113
11.257	34.514	28.841
10.601	26.064	26.167
9.771	17.979	21.404
8.226	13.395	16.637
9.027	11.710	13.509
10.969	7.177	10.905
11.015	11.052	10.291
10.822	14.284	13.062
8.993	19.291	16.414
8.354	19.008	21.364
8.002	18.276	19.291
7.212	22.011	12.993
6.886	24.282	10.702
5.400	26.941	9.511
3.398	35.570	7.163
2.333	38.208	6.735
1.299	35.064	9.194
2.258	33.555	12.057
3.672	30.882	12.694
4.977	30.118	16.358
6.308	32.161	18.579
7.296	34.707	19.552
8.837	39.917	19.800
8.222	43.795	16.713
6.007	44.531	11.768
5.840	46.251	10.148
4.822	49.396	9.357
4.422	50.463	7.730
4.560	48.817	9.168
5.730	46.338	10.655
6.924	41.618	12.999
7.381	37.062	13.938
7.626	50.888	12.563
7.210	50.216	14.016
7.223	36.390	15.723
6.807	29.349	17.368
6.507	21.017	19.547
5.812	14.727	20.558
6.632	10.132	19.079
4.970	7.814	18.496
2.511	5.426	19.230
5.427	6.213	18.723
5.578	8.577	17.013
4.950	10.014	13.833
6.879	12.354	10.250
7.481	15.520	8.512
7.348	14.170	8.963
7.550	12.727	13.116
7.678	15.973	15.811
7.046	18.843	15.694
4.574	17.265	15.219
5.295	21.659	14.643
6.432	26.071	15.254
6.365	29.772	12.314
