Head_X	Head_Y	Head_Z	RHand_X	RHand_Y	RHand_Z	LHand_X	LHand_Y	LHand_Z
11.796	11.662	3.094	24.995	41.150	12.936	4.742	20.331	7.195
11.796	11.662	3.094	25.202	41.402	12.936	4.742	20.331	7.195
11.796	11.873	3.094	25.202	41.402	12.936	4.742	20.331	7.195
11.796	11.873	3.094	25.202	41.402	12.936	4.742	20.331	7.195
11.796	11.873	3.094	25.202	41.402	12.936	4.742	20.331	7.195
11.796	11.873	3.094	25.202	41.402	12.936	4.742	20.331	7.195
11.796	12.152	3.094	25.202	41.726	12.936	4.742	20.538	7.195
11.796	12.152	3.094	25.202	41.972	12.936	4.742	20.538	7.195
11.796	12.152	3.094	25.202	42.190	12.936	4.742	20.538	7.195
11.796	12.152	3.094	25.202	42.190	12.936	4.742	20.538	7.195
11.796	12.368	3.094	25.202	42.569	12.936	4.742	20.538	7.195
11.796	12.368	3.094	25.202	42.569	12.936	4.742	20.538	7.195
12.044	12.368	3.094	25.404	42.981	12.936	4.742	20.538	7.195
12.044	12.368	3.094	25.404	42.981	13.163	4.742	20.538	7.195
12.250	12.368	3.094	25.404	43.260	13.163	4.742	20.538	7.195
12.250	12.368	3.094	25.404	43.260	13.163	4.742	20.538	7.195
12.627	12.368	3.094	25.404	43.260	13.163	4.742	20.538	7.195
12.888	12.368	3.094	25.404	43.495	13.163	4.742	20.538	7.195
13.177	12.368	3.094	25.730	43.702	13.163	4.742	20.838	7.195
13.476	12.368	3.094	25.967	43.974	13.471	4.742	20.838	7.195
13.784	12.589	3.094	26.175	44.216	13.471	4.742	21.125	7.406
14.089	12.589	3.094	26.175	44.216	13.471	4.742	21.125	7.406
14.310	12.790	3.094	26.175	44.466	13.709	4.742	21.125	7.406
14.531	12.790	3.094	26.175	44.466	13.709	4.742	21.125	7.406
14.531	13.018	3.311	26.175	44.466	13.709	4.742	21.125	7.406
14.858	13.018	3.311	26.175	44.735	13.709	4.742	21.125	7.406
14.858	13.242	3.311	26.175	44.735	13.709	4.742	21.376	7.406
14.858	13.242	3.311	26.478	45.009	13.709	4.742	21.376	7.406
15.077	13.460	3.527	26.478	45.225	13.709	4.742	21.376	7.406
15.077	13.460	3.527	26.478	45.225	13.709	4.742	21.660	7.611
15.077	13.675	3.527	26.478	45.623	13.709	4.742	21.660	7.611
15.077	13.675	3.527	26.478	45.623	13.709	4.742	21.660	7.611
15.373	13.675	3.527	26.478	45.976	13.709	4.742	21.915	7.611
15.373	13.898	3.527	26.478	45.976	13.709	4.742	21.915	7.611
15.583	13.898	3.527	26.478	46.253	13.709	4.742	21.915	7.611
15.583	13.898	3.742	26.689	46.253	13.709	4.742	21.915	7.611
15.814	13.898	3.742	26.689	46.253	13.709	4.742	21.915	7.611
15.814	14.127	3.742	26.689	46.253	13.709	4.942	21.915	7.611
15.814	14.127	3.742	26.689	46.253	13.709	4.942	22.177	7.611
15.814	14.127	3.742	26.689	46.253	13.709	4.942	22.177	7.611
15.814	14.329	3.742	26.689	46.253	13.709	4.942	22.177	7.611
15.814	14.329	3.742	26.914	46.253	13.709	4.942	22.413	7.611
15.814	14.561	4.027	26.914	46.458	13.709	4.942	22.413	7.611
16.203	14.762	4.027	26.914	46.458	13.938	4.942	22.413	7.611
16.671	15.014	4.433	26.914	46.458	13.938	4.942	22.693	7.611
17.322	15.382	4.753	26.914	46.458	13.938	4.942	22.693	7.611
18.194	15.772	5.162	26.914	46.458	13.938	4.942	22.973	7.611
19.336	16.288	5.647	26.914	46.458	13.938	5.173	22.973	7.611
20.889	16.967	6.184	27.176	46.666	13.938	5.173	23.275	7.611
22.698	17.708	6.632	27.176	46.666	13.938	5.173	23.275	7.611
24.927	18.706	7.014	27.176	46.666	14.203	5.173	23.607	7.812
27.320	19.779	7.498	27.479	46.949	14.203	5.393	23.843	7.812
30.056	21.048	7.910	27.680	46.949	14.549	5.393	24.073	7.812
32.973	22.527	8.449	27.680	46.949	14.549	5.393	24.352	7.812
36.028	24.261	8.885	27.902	46.949	14.549	5.624	24.603	7.812
39.180	26.210	9.363	27.902	47.170	14.549	5.624	24.842	7.812
42.280	28.346	9.885	27.902	47.170	14.549	5.624	25.047	7.812
45.369	30.661	10.317	27.902	47.170	14.549	5.624	25.047	7.812
49.159	32.768	11.430	28.194	47.170	14.549	5.624	25.359	7.812
51.916	35.297	11.865	28.443	47.549	14.769	5.624	25.359	7.812
54.386	37.871	12.239	28.737	47.781	14.769	5.624	25.567	7.812
56.631	40.427	12.565	29.065	48.040	14.769	5.624	25.567	7.812
58.722	43.000	12.565	29.354	48.310	14.769	5.624	25.567	7.812
60.590	45.484	13.056	29.675	48.745	15.063	5.624	25.567	7.812
62.267	47.878	13.056	30.129	49.313	15.289	5.910	25.567	8.041
63.817	50.234	13.627	30.664	50.019	15.530	6.136	25.567	8.041
65.248	52.343	13.971	31.353	50.746	15.772	6.429	25.567	8.041
66.534	54.575	14.381	32.181	51.622	16.145	6.783	25.567	8.041
67.767	56.606	14.808	32.887	52.625	16.454	7.190	25.567	8.287
68.923	58.457	15.242	33.429	53.982	16.781	7.603	25.773	8.287
70.042	60.312	15.544	33.870	55.366	17.068	8.063	26.132	8.287
71.059	62.040	15.931	33.870	57.089	17.458	8.545	26.557	8.287
72.060	63.651	16.234	33.870	58.828	17.837	9.149	27.054	8.650
72.984	65.295	16.566	34.353	61.137	18.136	9.728	27.569	8.650
73.946	66.811	16.870	34.769	62.614	18.584	10.325	28.105	9.146
74.846	68.318	17.223	35.275	64.110	18.949	10.904	28.565	9.439
75.808	69.773	17.473	35.788	65.451	19.310	11.582	29.004	9.686
76.701	71.200	17.851	36.488	66.761	19.558	12.224	29.417	10.028
77.626	72.610	17.851	37.152	67.975	19.558	12.850	29.752	10.417
78.415	73.958	18.358	37.991	69.070	19.558	13.466	30.055	10.787
79.260	75.340	18.616	38.824	70.196	19.558	14.085	30.381	11.183
80.072	76.624	18.616	39.802	71.058	19.558	14.595	30.861	11.646
80.856	77.864	19.002	40.860	71.745	19.838	15.013	31.344	12.038
81.661	79.036	19.002	42.102	72.577	19.838	15.442	31.922	12.453
82.400	80.242	19.269	43.314	72.910	19.838	15.682	32.510	12.812
83.141	81.352	19.269	44.634	73.161	20.239	15.682	33.278	13.094
83.858	82.429	19.269	46.190	73.161	20.599	15.682	34.091	13.094
84.540	83.477	19.269	47.794	73.161	21.118	15.682	34.940	13.094
85.296	84.509	19.269	49.482	73.809	21.754	15.932	35.773	13.094
85.982	85.495	19.269	51.184	74.526	22.412	16.247	36.650	13.094
86.731	86.469	19.557	52.958	75.490	23.271	16.646	37.707	13.637
87.459	87.435	19.827	54.818	76.510	23.928	17.218	38.695	14.004
88.156	88.396	20.152	56.565	77.399	24.379	17.839	39.731	14.648
88.895	89.289	20.494	57.962	78.503	24.672	18.430	40.782	15.222
89.570	90.263	20.956	59.202	79.440	24.672	19.092	41.910	15.897
90.183	91.119	21.332	60.018	80.189	24.926	19.711	42.823	16.373
90.895	91.971	21.788	60.629	80.991	25.301	20.375	43.789	16.902
91.438	92.726	22.170	60.884	81.740	25.841	20.940	44.484	17.229
91.992	93.501	22.568	60.884	82.536	26.351	21.386	45.119	17.516
92.565	94.292	22.968	61.132	83.455	26.889	21.777	45.558	17.766
93.005	94.917	23.286	61.540	84.163	27.170	22.142	45.842	17.766
93.395	95.493	23.560	61.910	84.902	27.435	22.473	45.842	17.766
93.817	96.100	23.831	62.367	85.512	27.435	22.799	46.292	17.966
94.255	96.648	24.108	62.871	85.918	27.706	23.084	46.615	17.966
94.587	97.138	24.315	63.336	85.918	27.706	23.338	46.615	17.966
94.910	97.518	24.529	63.709	85.918	27.706	23.338	46.615	17.966
95.209	97.809	24.741	64.098	85.918	27.706	23.542	46.615	18.239
95.514	98.073	24.741	64.412	86.255	27.967	23.542	46.947	18.239
95.849	98.311	25.116	64.654	86.605	27.967	23.542	47.248	18.239
96.082	98.311	25.116	64.884	86.991	27.967	23.878	47.573	18.239
96.328	98.633	25.495	65.131	87.414	28.170	23.878	47.902	18.239
96.545	98.633	25.707	65.131	87.824	28.170	24.207	48.291	18.239
96.545	98.633	25.707	65.479	88.202	28.170	24.207	48.757	18.446
96.872	98.875	26.104	65.479	88.481	28.170	24.476	49.198	18.446
96.872	98.875	26.327	65.726	88.735	28.384	24.476	49.609	18.446
97.121	98.875	26.538	65.726	88.735	28.384	24.476	50.046	18.446
97.121	98.875	26.741	65.980	89.044	28.384	24.476	50.423	18.675
97.121	98.875	26.957	65.980	89.044	28.384	24.476	50.801	18.675
97.432	98.875	27.216	66.222	89.044	28.384	24.476	51.143	18.675
97.432	98.875	27.420	66.222	89.044	28.384	24.476	51.478	18.883
97.432	98.875	27.624	66.222	89.246	28.384	24.476	51.775	18.883
97.432	99.098	27.834	66.480	89.246	28.384	24.476	52.018	18.883
97.432	99.098	28.043	66.480	89.246	28.384	24.702	52.241	18.883
97.432	99.098	28.043	66.480	89.246	28.384	24.702	52.456	18.883
97.432	99.426	28.419	66.480	89.450	28.384	25.119	52.689	18.883
97.432	99.426	28.419	66.480	89.450	28.384	25.356	52.891	18.883
97.432	99.673	28.709	66.480	89.709	28.384	25.615	53.216	19.209
97.432	99.673	28.709	66.480	89.709	28.384	25.615	53.522	19.209
