RHand	LHand	Head
13.450	18.974	41.574
9.727	21.503	42.879
5.650	23.070	41.813
2.555	23.201	45.640
7.898	23.857	51.541
15.406	22.706	56.152
22.988	21.490	57.417
30.868	22.519	56.238
37.269	22.090	59.640
36.908	20.781	66.082
35.623	20.200	67.275
37.433	19.177	68.835
32.719	16.723	76.307
25.044	15.292	80.314
19.544	11.941	84.870
14.814	8.181	89.779
11.608	4.986	84.892
8.925	0.848	84.359
8.182	1.793	92.789
11.371	2.275	90.579
17.259	3.129	84.829
21.114	6.221	86.100
23.677	14.476	86.550
25.714	24.137	85.507
28.566	36.373	85.146
33.314	41.783	90.918
30.902	40.922	85.477
26.705	37.561	68.107
25.306	31.001	62.193
21.322	23.163	69.589
15.705	16.547	70.506
11.269	9.833	60.134
9.827	11.185	55.429
7.666	14.002	60.734
8.007	24.175	73.953
7.952	68.559	87.700
11.485	95.334	97.215
14.170	96.269	108.862
12.576	95.568	121.043
13.092	84.429	125.939
12.633	74.602	134.044
14.410	67.111	143.612
16.541	61.468	149.164
12.540	54.179	152.975
9.218	48.502	158.325
6.184	47.315	163.643
6.779	48.310	161.492
7.890	49.667	164.384
8.030	44.536	164.660
10.113	37.399	163.167
9.642	38.199	159.924
6.893	34.204	156.529
8.498	22.703	159.412
9.539	15.971	161.366
8.285	14.710	166.186
8.469	18.773	170.407
9.977	21.406	178.130
8.157	23.736	182.527
5.905	25.653	187.229
5.974	27.006	199.055
6.675	28.974	201.635
8.482	31.818	211.148
12.604	28.565	221.965
15.121	25.672	228.639
16.672	23.159	238.295
18.467	19.870	248.104
21.721	18.786	256.199
22.223	19.510	263.038
23.253	21.696	272.518
25.192	24.701	281.378
23.809	30.527	289.684
24.114	40.653	289.054
28.988	48.932	294.918
31.437	48.773	298.348
29.776	41.426	300.025
27.202	38.301	298.329
23.933	46.459	299.475
24.928	51.968	305.786
23.347	61.631	306.133
21.234	81.463	307.650
25.131	114.909	311.655
37.740	125.548	311.363
64.269	164.311	303.507
91.739	154.260	299.800
103.853	103.535	298.636
119.435	101.916	292.907
139.871	83.663	286.827
154.193	73.763	277.874
182.953	82.265	267.172
221.223	88.147	257.773
258.449	92.480	246.339
310.898	105.083	242.061
366.435	118.364	232.643
423.893	125.660	222.594
487.260	132.343	213.087
535.102	144.136	199.451
573.600	157.168	184.772
609.106	154.758	176.093
641.759	152.835	169.235
664.515	152.580	162.021
693.744	148.415	154.646
726.524	152.432	143.920
747.336	145.929	136.820
768.955	141.583	131.785
780.564	144.975	126.994
793.117	136.802	120.314
807.025	135.543	115.810
825.913	131.398	108.421
854.930	129.912	106.852
893.040	129.392	106.459
910.608	121.750	103.854
916.395	107.356	98.829
941.799	100.030	96.745
962.921	99.382	100.473
982.499	84.419	105.280
998.218	82.396	109.271
1015.564	76.207	111.832
1058.823	60.101	104.763
1065.610	58.053	108.171
1057.988	39.593	112.339
1059.193	25.839	105.247
1075.003	18.529	105.589
1076.599	21.420	120.895
1031.689	29.724	126.887
986.844	40.513	113.474
925.211	43.650	115.506
876.737	38.935	118.418
832.149	33.781	117.605
770.667	27.708	122.562
719.182	22.187	133.466
652.263	18.837	126.064
602.575	16.659	119.237
575.264	15.600	117.172
539.723	15.912	114.843
503.483	12.877	117.178
467.314	9.069	115.980
438.502	6.873	118.684
409.580	6.809	120.636
386.341	7.378	121.983
364.609	9.182	123.436
343.020	9.827	125.771
320.168	8.957	130.934
301.010	10.519	131.977
286.072	9.492	126.381
273.089	8.114	129.248
268.766	8.965	127.503
267.382	9.898	123.733
263.849	10.036	118.426
251.506	9.559	119.108
232.262	9.101	121.551
224.045	7.840	114.818
219.166	5.322	114.204
194.551	4.060	107.468
181.285	4.611	99.076
172.829	5.530	96.678
151.925	7.125	87.637
135.517	7.686	79.707
121.797	7.038	77.574
108.098	5.063	69.055
87.234	2.754	58.900
71.278	0.787	56.012
61.582	2.108	56.228
59.706	4.612	54.353
56.771	5.701	50.119
55.029	7.608	45.027
53.346	10.296	48.655
49.075	15.605	54.593
54.107	20.546	62.845
54.307	27.331	95.326
50.164	35.059	95.415
48.178	37.424	64.909
47.017	37.872	58.840
46.255	38.932	59.380
45.324	37.550	55.182
40.968	32.243	48.030
37.021	24.909	45.626
39.879	18.625	46.697
42.897	10.830	41.079
42.219	9.859	35.159
44.598	17.917	33.313
54.883	28.583	30.051
70.938	36.208	27.489
84.227	42.031	26.032
90.789	44.607	23.777
98.406	45.147	22.473
105.427	45.214	22.798
109.782	43.080	25.129
123.855	41.299	30.343
130.409	36.949	35.590
130.142	32.937	43.779
141.713	29.050	55.244
151.425	25.471	63.884
153.913	24.765	72.158
165.720	22.575	77.088
183.156	21.818	72.822
195.926	24.512	74.419
218.797	27.172	83.204
250.815	26.381	84.394
272.384	29.862	85.127
305.820	38.758	95.074
338.748	43.413	101.181
362.624	43.267	101.686
390.996	47.684	105.810
