P3_hand_rP3whole_dist_traveled	P3_hand_lP3whole_dist_traveled	P3_shoulder_lP3whole_dist_traveled	P3_elbow_rP3whole_dist_traveled	P3_shoulder_rP3whole_dist_traveled	P3_headP3whole_dist_traveled	P3_elbow_lP3whole_dist_traveled
89.808	98.223	79.121	71.091	69.855	246.143	49.733
89.808	98.223	79.330	71.296	69.855	246.390	49.733
89.808	98.434	79.330	71.296	69.855	246.390	49.733
89.808	98.434	79.330	71.296	69.855	246.390	49.733
89.808	98.434	79.330	71.296	69.855	246.597	49.733
89.808	98.434	79.330	71.296	69.855	246.597	49.733
89.808	98.434	79.530	71.296	69.855	246.597	49.733
89.808	98.434	79.530	71.296	69.855	246.597	49.733
89.808	98.434	79.530	71.296	70.085	246.597	49.733
89.808	98.434	79.530	71.296	70.085	246.597	49.733
89.808	98.434	79.530	71.296	70.085	246.597	49.733
89.808	98.434	79.530	71.296	70.085	246.597	49.733
89.808	98.434	79.530	71.513	70.085	246.597	49.733
90.031	98.434	79.530	71.513	70.085	246.597	49.733
90.031	98.434	79.763	71.513	70.343	246.597	49.733
90.031	98.434	79.763	71.513	70.343	246.597	49.733
90.031	98.434	79.763	71.513	70.343	246.807	49.733
90.031	98.434	79.763	71.513	70.343	246.807	49.733
90.031	98.434	80.002	71.513	70.343	246.807	49.937
90.031	98.434	80.002	71.513	70.343	247.137	49.937
90.031	98.434	80.002	71.513	70.343	247.137	49.937
90.031	98.434	80.002	71.513	70.343	247.452	49.937
90.031	98.434	80.216	71.513	70.343	247.452	49.937
90.031	98.434	80.216	71.513	70.343	247.856	49.937
90.031	98.434	80.216	71.513	70.343	248.072	49.937
90.031	98.637	80.216	71.513	70.343	248.298	49.937
90.031	98.637	80.216	71.513	70.343	248.508	49.937
90.031	98.637	80.216	71.513	70.343	248.770	49.937
90.031	98.637	80.216	71.513	70.547	249.024	49.937
90.031	98.637	80.439	71.513	70.547	249.282	49.937
90.244	98.637	80.439	71.513	70.547	249.559	50.141
90.244	98.637	80.439	71.723	70.783	249.868	50.141
90.244	98.637	80.439	71.723	70.783	250.150	50.141
90.244	98.637	80.668	71.723	70.783	250.461	50.141
90.244	98.637	80.668	71.723	71.057	250.755	50.141
90.478	98.637	80.668	71.723	71.057	251.057	50.141
90.478	98.637	80.668	71.964	71.057	251.360	50.141
90.478	98.857	80.668	71.964	71.344	251.644	50.141
90.741	98.857	80.889	71.964	71.344	251.919	50.359
90.741	98.857	80.889	72.168	71.554	252.225	50.359
90.741	98.857	80.889	72.168	71.554	252.516	50.359
91.054	98.857	80.889	72.168	71.554	252.807	50.359
91.054	98.857	80.889	72.168	71.805	253.116	50.359
91.287	98.857	80.889	72.168	71.805	253.372	50.359
91.287	98.857	81.120	72.168	71.805	253.599	50.359
91.287	98.857	81.120	72.405	71.805	253.867	50.359
91.533	98.857	81.120	72.405	71.805	254.160	50.359
91.533	98.857	81.120	72.405	72.027	254.456	50.359
91.533	98.857	81.120	72.405	72.027	254.750	50.359
91.824	98.857	81.120	72.405	72.027	255.014	50.359
92.027	98.857	81.366	72.619	72.027	255.226	50.576
92.298	98.857	81.366	72.619	72.027	255.226	50.576
92.647	98.857	81.366	72.852	72.027	255.587	50.576
93.087	98.857	81.366	72.852	72.027	255.587	50.576
93.537	98.857	81.366	73.289	72.248	255.936	50.576
94.066	98.857	81.366	73.498	72.248	255.936	50.576
94.653	99.062	81.577	73.712	72.248	256.180	50.576
95.310	99.062	81.577	73.712	72.248	256.180	50.576
96.111	99.062	81.577	74.056	72.528	256.391	50.576
96.955	99.062	81.577	74.056	72.528	256.391	50.576
97.818	99.062	81.577	74.302	72.528	256.391	50.822
98.675	99.062	81.577	74.302	72.808	256.391	50.822
99.462	99.062	81.577	74.302	72.808	256.614	50.822
100.295	99.062	81.785	74.302	72.808	256.614	50.822
101.065	99.062	81.785	74.552	73.044	256.614	51.050
101.813	99.062	81.785	74.552	73.044	256.614	51.050
102.511	99.062	82.029	74.552	73.044	256.614	51.050
103.123	99.062	82.029	74.552	73.044	256.871	51.050
103.731	99.062	82.029	74.775	73.044	256.871	51.050
104.391	99.062	82.250	74.775	73.044	257.088	51.271
105.100	99.062	82.250	74.775	73.286	257.088	51.271
105.834	99.290	82.250	74.775	73.286	257.349	51.271
106.616	99.290	82.456	75.027	73.286	257.349	51.271
107.492	99.290	82.456	75.027	73.286	257.614	51.271
108.720	99.290	82.456	75.027	73.488	257.614	51.271
109.689	99.290	82.456	75.293	73.488	257.930	51.271
110.725	99.290	82.707	75.293	73.488	258.150	51.271
111.840	99.290	82.707	75.531	73.695	258.150	51.271
112.928	99.290	82.707	75.531	73.695	258.536	51.271
114.104	99.290	82.707	75.783	73.695	258.536	51.271
114.999	99.290	82.980	75.783	73.695	258.892	51.271
115.448	99.290	82.980	75.783	73.922	259.114	51.271
115.885	99.290	82.980	75.783	73.922	259.327	51.271
115.885	99.290	82.980	75.783	73.922	259.569	51.271
116.270	99.290	83.221	76.043	73.922	259.840	51.271
116.658	99.290	83.221	76.043	73.922	260.137	51.271
117.064	99.290	83.221	76.297	73.922	260.399	51.271
117.397	99.290	83.424	76.297	73.922	260.633	51.486
117.682	99.290	83.424	76.598	74.157	260.870	51.486
117.924	99.290	83.424	76.598	74.157	261.085	51.486
117.924	99.290	83.424	76.819	74.157	261.286	51.486
118.288	99.290	83.651	76.819	74.425	261.286	51.486
118.288	99.290	83.651	76.819	74.425	261.650	51.486
118.526	99.290	83.651	77.090	74.425	261.650	51.486
118.526	99.502	83.856	77.090	74.743	262.035	51.486
118.526	99.502	83.856	77.090	74.743	262.266	51.486
118.526	99.502	83.856	77.090	74.743	262.482	51.688
118.526	99.502	84.100	77.090	74.983	262.715	51.688
118.781	99.502	84.100	77.324	74.983	262.941	51.688
118.781	99.502	84.327	77.324	74.983	263.174	51.688
118.781	99.502	84.327	77.324	75.254	263.417	51.688
119.024	99.705	84.600	77.324	75.254	263.636	51.688
119.024	99.705	84.600	77.558	75.460	263.846	51.910
119.024	99.705	84.848	77.558	75.460	264.080	51.910
119.296	99.705	84.848	77.558	75.460	264.328	51.910
119.296	99.705	85.110	77.794	75.753	264.582	51.910
119.296	99.705	85.110	77.794	75.753	264.877	51.910
119.544	99.705	85.367	77.794	75.956	265.183	52.147
119.544	99.705	85.367	78.010	75.956	265.495	52.147
119.544	99.705	85.367	78.010	75.956	265.810	52.147
119.544	99.705	85.664	78.010	76.203	266.124	52.147
119.544	99.705	85.664	78.249	76.203	266.395	52.349
119.796	99.915	85.880	78.249	76.203	266.689	52.349
119.796	99.915	85.880	78.249	76.484	266.935	52.349
119.796	99.915	86.161	78.534	76.484	267.202	52.349
120.045	99.915	86.161	78.534	76.742	267.527	52.560
120.045	99.915	86.470	78.765	76.742	267.837	52.560
120.045	99.915	86.470	78.765	77.093	268.142	52.560
120.045	99.915	86.826	79.048	77.093	268.474	52.560
120.292	99.915	86.826	79.048	77.422	268.830	52.560
120.292	100.137	87.161	79.341	77.422	269.171	52.779
120.292	100.137	87.161	79.341	77.706	269.513	52.779
120.292	100.137	87.481	79.575	77.706	269.884	52.779
120.292	100.137	87.481	79.575	77.948	270.206	52.779
120.292	100.137	87.706	79.575	77.948	270.528	52.779
120.292	100.137	87.706	79.832	77.948	270.853	52.779
120.292	100.339	87.706	79.832	78.198	271.208	53.019
120.503	100.339	87.961	79.832	78.198	271.568	53.019
120.503	100.339	87.961	80.042	78.198	271.945	53.019
120.503	100.339	87.961	80.042	78.198	272.261	53.019
120.503	100.339	87.961	80.042	78.198	272.529	53.019
120.503	100.339	87.961	80.042	78.426	272.784	53.019
