P2_elbow_rP2whole_dist_traveled	P2_hand_rP2whole_dist_traveled	P2_shoulder_lP2whole_dist_traveled	P2_elbow_lP2whole_dist_traveled	P2_headP2whole_dist_traveled	P2_shoulder_rP2whole_dist_traveled	P2_hand_lP2whole_dist_traveled
55.893	168.964	116.934	25.499	202.721	122.581	194.372
55.893	168.964	116.934	25.499	202.721	122.797	194.372
56.100	169.188	117.144	25.499	202.721	122.797	194.372
56.100	169.188	117.144	25.499	203.008	122.797	194.372
56.100	169.427	117.144	25.499	203.008	122.797	194.608
56.100	169.427	117.144	25.499	203.271	122.797	194.608
56.100	169.637	117.367	25.499	203.271	123.013	194.608
56.100	169.637	117.367	25.499	203.623	123.013	194.608
56.329	169.902	117.367	25.499	203.623	123.013	194.608
56.329	169.902	117.606	25.499	204.039	123.013	194.900
56.329	170.222	117.606	25.724	204.275	123.013	194.900
56.329	170.222	117.819	25.724	204.510	123.257	194.900
56.329	170.499	117.819	25.724	204.835	123.257	195.206
