RHand	Head	LHand
24.050	268.723	27.114
25.212	304.189	28.399
38.287	339.467	28.714
41.363	369.183	27.851
19.568	390.768	29.032
19.155	405.943	31.690
37.618	417.223	34.489
32.397	423.196	37.451
15.796	421.240	40.226
16.931	408.146	42.731
30.192	387.048	47.307
19.390	356.927	48.040
17.738	316.259	43.649
15.696	274.413	39.356
17.788	220.814	34.203
23.909	167.606	28.298
47.402	114.651	22.094
36.861	60.780	16.048
29.473	39.838	11.795
51.832	70.931	8.527
57.635	111.223	9.958
64.020	149.367	11.561
63.120	180.153	16.883
57.527	204.439	22.691
52.280	217.611	26.702
48.888	222.706	28.605
44.246	233.817	32.663
35.056	231.646	36.245
27.719	225.063	36.226
20.903	213.842	35.123
14.140	190.665	24.684
7.907	168.118	20.396
6.092	138.633	25.273
7.295	101.267	26.409
24.553	66.615	26.644
18.352	37.526	29.323
37.927	29.489	30.765
35.671	55.158	27.948
15.395	85.355	25.381
24.163	121.374	36.562
15.268	158.337	32.818
14.793	179.650	17.893
29.767	202.209	16.927
15.816	220.199	11.019
17.776	217.874	6.145
17.655	208.232	9.630
14.169	188.523	13.220
11.770	157.248	14.268
10.797	124.701	19.547
10.117	89.372	22.628
7.473	45.419	37.151
9.630	23.017	25.299
10.543	30.276	17.823
9.856	57.808	24.562
13.485	87.662	37.144
17.286	104.514	34.952
22.292	113.216	17.869
28.751	135.813	14.716
27.966	144.694	11.874
23.432	149.533	14.107
17.830	161.486	21.311
11.148	160.863	24.570
3.943	162.168	26.244
9.945	158.877	38.335
14.421	150.586	37.319
8.965	144.189	22.112
8.601	130.425	20.900
7.280	115.537	16.544
5.728	108.056	9.647
2.889	89.057	6.653
3.353	68.023	6.284
7.231	59.199	8.348
4.733	51.339	4.172
4.387	41.629	3.367
3.964	32.613	3.513
3.610	24.085	3.056
3.428	19.820	2.493
2.949	20.200	2.245
6.042	20.489	3.841
7.396	20.934	3.905
7.851	24.050	4.086
8.824	25.295	5.093
10.699	27.318	3.507
13.801	26.138	1.923
17.592	22.646	5.481
18.551	20.294	5.054
19.690	16.798	5.151
21.864	12.049	5.955
23.150	10.826	5.403
24.678	18.890	8.908
22.985	27.571	9.597
19.969	36.678	8.397
18.038	47.531	10.195
14.438	57.479	11.080
11.113	66.693	8.849
9.522	77.860	6.776
9.281	93.045	6.730
9.275	102.996	4.129
11.060	102.529	3.561
13.106	108.332	5.743
11.129	117.888	1.639
12.653	113.926	3.619
14.564	109.275	4.854
11.535	116.204	6.403
9.964	115.440	7.692
8.835	109.838	10.934
7.175	106.727	11.364
5.013	106.454	9.385
2.992	105.525	11.451
3.863	98.642	13.340
4.763	93.627	12.679
9.404	90.095	11.015
13.619	87.062	12.299
9.588	78.288	18.723
9.598	73.709	24.875
18.487	73.640	29.910
10.043	68.629	31.477
13.967	57.426	32.829
39.813	54.019	35.375
23.066	65.179	35.354
13.797	65.771	31.929
17.075	58.193	29.717
13.705	51.212	26.981
11.921	49.276	22.969
14.043	51.961	20.520
13.076	59.328	16.024
16.880	68.303	10.373
22.662	65.810	6.808
27.489	64.444	4.417
31.927	67.153	4.826
31.642	65.830	7.109
43.475	69.241	8.442
51.429	67.222	9.259
37.387	64.231	12.347
34.256	69.284	14.626
47.040	66.447	12.570
53.136	57.816	9.240
62.568	57.654	6.196
63.378	57.412	13.154
77.420	57.837	22.336
90.937	58.165	29.994
78.576	53.366	38.011
75.951	60.694	46.083
55.791	73.551	45.214
54.887	71.786	40.952
63.353	68.757	43.940
51.099	77.471	39.423
48.129	81.538	24.071
48.945	86.889	19.021
50.957	94.727	15.051
47.949	96.445	11.448
40.039	94.081	7.877
37.333	102.750	7.192
30.037	109.606	7.365
21.746	111.820	8.601
13.730	111.763	9.824
3.867	102.880	9.155
14.883	93.497	11.705
30.218	88.001	8.376
51.816	83.672	5.001
70.697	71.671	10.823
84.851	63.145	15.953
88.830	60.067	20.910
81.521	54.958	26.918
88.382	46.527	37.974
97.239	41.371	51.474
86.879	39.000	66.082
