P2_hands_comp_Distance_X	P2_hands_comp_Distance_Y	P2_hands_comp_Distance_Z
-64.601	155.785	-1.467
-64.617	155.828	-1.454
-64.618	155.800	-1.457
-64.409	155.556	-1.701
-64.376	155.349	-1.716
-64.270	155.050	-1.643
-64.171	154.649	-1.558
-64.106	154.078	-1.412
-64.087	153.412	-1.323
-64.084	153.083	-1.286
-64.311	153.050	-1.303
-64.535	153.082	-1.221
-64.663	153.202	-1.117
-64.760	153.262	-1.040
-64.767	153.253	-0.983
-64.741	153.168	-0.931
-64.710	153.116	-0.917
-64.686	153.008	-0.901
-64.666	152.933	-0.931
-64.626	152.924	-0.923
-64.619	152.964	-0.944
-64.593	153.015	-0.932
-64.580	153.188	-0.925
-64.618	153.362	-0.904
-64.745	153.582	-0.871
-64.950	153.879	-0.796
-65.152	154.159	-0.717
-65.370	154.490	-0.603
-65.577	154.937	-0.467
-65.661	155.316	-0.444
-65.939	155.789	-0.127
-66.009	156.044	-0.096
-66.024	156.251	-0.092
-66.023	156.357	-0.125
-65.977	156.398	-0.196
-65.855	156.370	-0.245
-65.732	156.210	-0.360
-65.612	155.944	-0.511
-65.200	155.451	-0.829
-64.877	154.993	-0.898
-64.402	154.366	-0.967
-64.100	153.742	-0.988
-64.017	153.289	-1.146
-64.041	153.289	-1.122
-64.122	153.380	-0.972
-64.208	153.454	-0.850
-64.248	153.468	-0.715
-64.228	153.409	-0.651
-64.130	153.391	-0.669
-64.034	153.336	-0.748
-63.934	153.323	-0.820
-63.873	153.282	-0.919
-63.856	153.359	-0.959
-63.831	153.455	-0.991
-63.844	153.566	-0.981
-63.841	153.772	-1.052
-63.812	154.040	-1.099
-63.879	154.413	-1.197
-63.905	154.751	-1.326
-63.992	155.131	-1.470
-64.232	155.607	-1.363
-64.284	156.050	-1.398
-64.322	156.372	-1.449
-64.323	156.588	-1.462
-64.336	156.714	-1.426
-64.336	156.753	-1.340
-64.349	156.641	-1.319
-64.362	156.407	-1.242
-64.368	156.058	-1.265
-64.316	155.507	-1.285
-64.249	154.861	-1.309
-63.986	154.079	-1.435
-63.891	153.215	-1.285
-63.811	152.203	-1.176
-63.730	151.644	-1.165
-63.834	151.701	-1.215
-64.026	151.853	-1.258
-64.132	151.948	-1.239
-64.284	151.946	-1.203
-64.306	151.872	-1.131
-64.325	151.815	-1.050
-64.348	151.747	-1.001
-64.343	151.621	-0.926
-64.349	151.506	-0.859
-64.363	151.435	-0.861
-64.348	151.325	-0.803
-64.327	151.223	-0.725
-64.282	151.036	-0.652
-64.240	150.924	-0.582
-64.228	150.815	-0.499
-64.177	150.725	-0.446
-64.161	150.725	-0.436
-64.133	150.712	-0.466
-64.127	150.717	-0.476
-64.123	150.735	-0.489
-64.100	150.744	-0.478
-64.081	150.780	-0.477
-64.104	150.801	-0.449
-64.065	150.789	-0.428
-64.091	150.797	-0.433
-64.047	150.752	-0.395
-63.790	150.481	-0.482
-63.739	150.435	-0.501
-63.733	150.413	-0.512
-63.745	150.516	-0.468
-63.707	150.477	-0.497
-63.666	150.417	-0.487
-63.631	150.409	-0.490
-63.597	150.402	-0.487
-63.564	150.409	-0.502
-63.744	150.508	-0.444
-63.723	150.492	-0.423
-63.696	150.506	-0.422
-63.688	150.559	-0.415
-63.702	150.616	-0.406
-63.725	150.729	-0.421
-63.774	150.939	-0.400
-63.839	151.123	-0.347
-63.974	151.415	-0.348
-64.070	151.672	-0.255
-64.163	152.065	-0.165
-64.237	152.372	-0.103
-64.288	152.660	-0.196
-64.386	152.929	-0.201
-64.518	153.287	-0.125
-64.725	153.734	0.100
-64.748	154.097	0.103
-64.747	154.442	0.121
-64.772	154.741	0.131
-64.801	155.053	0.128
-64.877	155.338	0.128
-65.035	155.684	0.221
-65.224	155.359	0.247
-65.512	155.486	0.471
-65.911	155.622	0.769
-66.391	155.606	1.106
-67.242	155.461	1.275
-67.809	155.200	1.804
-68.481	154.728	2.422
-69.105	154.153	3.033
-69.406	153.338	3.464
-69.790	152.725	4.236
-70.011	152.289	4.791
-69.959	152.005	5.133
-69.244	151.900	5.193
-68.653	151.995	4.637
-67.784	152.687	3.642
-66.543	152.885	2.407
-65.120	153.164	0.866
-63.945	153.461	-0.468
-62.683	153.817	-1.885
-61.498	154.244	-3.236
-60.885	154.900	-4.025
-60.715	155.595	-4.224
-60.577	155.922	-3.781
-60.806	155.991	-3.105
-61.282	155.840	-2.231
-62.106	155.626	-1.267
-62.960	155.445	-0.316
-63.716	155.237	0.530
-64.447	154.849	1.270
-64.895	154.204	1.728
-65.672	153.663	2.438
-66.375	153.170	3.005
-66.854	152.988	3.443
-67.147	152.962	3.545
-67.337	152.912	3.310
-67.198	152.977	2.966
-66.830	153.119	2.472
-66.246	153.162	1.908
-65.525	153.437	1.299
-64.806	153.687	0.701
-64.027	153.834	-0.076
-63.476	154.003	-0.578
-62.717	154.132	-1.357
-62.138	154.447	-1.953
-61.916	154.742	-2.286
-61.711	154.900	-2.206
-61.746	154.857	-1.993
-61.974	154.641	-1.626
-62.396	154.411	-1.143
-62.622	153.969	-0.819
-63.073	153.614	-0.215
-63.555	153.243	0.341
-63.909	153.078	0.837
-64.318	152.953	0.980
-64.648	152.914	0.993
-64.969	152.952	1.000
-65.247	152.983	1.012
-65.468	153.023	1.050
-65.758	153.006	1.129
-66.028	153.015	1.284
-66.351	153.013	1.494
-66.622	153.083	1.728
-66.861	153.109	1.896
-67.069	153.197	2.038
-67.233	153.257	2.176
-67.324	153.296	2.340
-67.435	153.356	2.460
-67.534	152.860	2.504
-67.613	152.929	2.622
-67.701	152.981	2.704
-67.757	153.017	2.772
-67.845	153.095	2.799
-67.907	153.167	2.841
-67.967	153.211	2.867
-68.001	153.230	2.893
-68.041	153.267	2.934
-68.066	153.262	2.968
-68.054	153.265	2.966
-68.034	153.283	2.938
-67.996	153.265	2.884
-67.910	153.213	2.864
-67.823	153.210	2.796
-67.720	153.221	2.714
-67.581	153.187	2.625
-67.433	153.699	2.640
-67.261	153.668	2.552
-67.105	153.591	2.421
-66.928	153.564	2.296
-66.763	153.502	2.170
-66.584	153.436	2.039
-66.378	153.335	1.886
-66.131	153.245	1.741
-65.880	153.141	1.570
-65.565	152.989	1.359
-65.263	152.889	1.152
-64.914	152.763	0.941
-64.541	152.606	0.672
-64.124	152.374	0.282
-63.592	152.239	-0.182
-62.931	152.161	-0.718
-62.409	152.262	-1.137
-62.284	152.456	-1.399
-62.164	152.596	-1.428
-62.150	152.667	-1.292
-62.220	152.689	-1.074
-62.238	152.632	-0.881
-62.305	152.612	-0.745
-62.312	152.608	-0.707
-62.282	152.591	-0.782
-62.260	152.603	-0.855
-62.229	152.645	-0.940
-62.179	152.678	-0.988
-62.122	152.682	-1.027
-62.100	152.718	-0.982
-62.059	152.720	-0.955
-62.037	152.797	-0.972
-61.980	152.914	-1.027
-61.933	153.077	-1.160
-61.856	153.339	-1.350
-61.742	153.585	-1.544
-61.629	153.871	-1.724
-61.726	154.278	-1.676
-61.598	154.551	-1.849
-61.485	154.835	-2.002
-61.394	155.077	-2.163
-61.269	155.279	-2.273
-61.195	155.466	-2.346
-61.109	155.575	-2.444
-61.065	155.661	-2.502
-61.042	155.727	-2.507
-61.001	155.783	-2.539
-60.946	155.820	-2.560
-60.915	155.881	-2.625
-60.889	155.910	-2.638
-60.852	155.940	-2.680
-60.832	155.954	-2.674
-60.883	155.991	-2.674
-60.972	156.013	-2.625
-61.078	156.012	-2.558
-61.289	156.018	-2.392
-61.537	156.037	-2.220
-61.825	155.992	-1.952
-62.134	155.950	-1.659
-62.448	155.908	-1.330
-62.785	155.902	-0.992
-63.060	155.923	-0.721
-63.305	155.852	-0.496
-63.535	155.846	-0.316
-63.713	155.852	-0.208
-63.871	155.893	-0.122
-64.033	155.868	-0.049
-64.216	155.803	0.071
-64.358	155.700	0.186
-64.557	155.524	0.320
-64.714	155.340	0.480
-64.870	155.193	0.621
-65.027	155.002	0.771
-65.204	154.879	0.893
-65.328	154.778	0.971
-65.482	154.651	1.042
-65.626	154.559	1.140
-65.529	154.263	1.040
-65.680	154.127	1.203
-65.798	154.026	1.323
-65.972	153.928	1.383
-66.078	153.920	1.399
-66.202	153.963	1.345
-66.261	154.015	1.292
-66.285	154.052	1.223
-66.232	154.098	1.180
-66.187	154.115	1.139
-66.138	154.172	1.041
-66.077	154.159	1.010
-66.043	154.147	0.983
-66.021	154.169	0.970
-65.989	154.149	0.994
-65.970	154.127	1.009
-65.985	154.072	1.080
-65.960	154.053	1.103
