RHand_X	RHand_Y	RHand_Z	Head_X	Head_Y	Head_Z	LHand_X	LHand_Y	LHand_Z
0.934	2.707	1.027	13.771	8.539	5.550	1.051	46.583	0.849
0.934	2.707	1.027	13.771	8.539	5.550	1.051	46.583	0.849
0.934	2.707	1.027	13.771	8.539	5.550	1.051	46.583	0.849
0.934	2.707	1.027	13.771	8.539	5.550	1.051	46.583	0.849
0.934	2.707	1.027	13.771	8.539	5.550	1.051	46.583	0.849
0.934	2.707	1.027	13.771	8.780	5.550	1.051	46.583	0.849
0.934	2.707	1.027	13.771	8.780	5.550	1.051	46.583	0.849
0.934	2.707	1.027	13.771	8.780	5.550	1.051	46.583	0.849
0.934	2.707	1.027	13.771	8.780	5.550	1.051	46.583	0.849
0.934	2.707	1.027	13.771	8.780	5.550	1.051	46.583	0.849
0.934	2.707	1.027	13.771	8.780	5.550	1.051	46.583	0.849
0.934	2.707	1.027	13.771	8.780	5.550	1.051	47.176	0.849
0.934	2.707	1.027	13.771	8.780	5.550	1.051	47.176	0.849
0.934	2.707	1.027	13.771	8.780	5.550	1.051	47.792	0.849
0.934	2.707	1.027	13.771	8.780	5.550	1.051	48.406	0.849
0.934	2.707	1.027	13.771	8.780	5.550	1.051	48.406	0.849
0.934	2.707	1.027	13.771	8.780	5.550	1.051	48.986	0.849
0.934	2.707	1.027	13.771	8.780	5.550	1.051	48.986	0.849
0.934	2.707	1.027	13.994	8.780	5.550	1.051	48.986	0.849
0.934	2.707	1.027	13.994	8.780	5.550	1.051	49.575	0.849
0.934	2.707	1.027	13.994	8.780	5.550	1.051	49.575	0.849
0.934	2.707	1.027	13.994	8.780	5.550	1.051	50.179	0.849
0.934	2.707	1.027	13.994	8.780	5.550	1.051	50.179	0.849
0.934	2.707	1.027	13.994	8.780	5.550	1.051	50.179	0.849
0.934	2.707	1.027	13.994	8.780	5.773	1.051	50.179	0.849
0.934	2.707	1.027	14.226	8.780	5.773	1.051	50.179	0.849
0.934	2.707	1.027	14.226	8.780	5.773	1.051	50.179	0.849
0.934	2.707	1.027	14.226	8.780	5.773	1.051	50.179	0.849
0.934	2.707	1.027	14.226	8.780	5.773	1.051	50.179	0.849
0.934	2.707	1.027	14.226	8.780	5.773	1.051	50.179	0.849
0.934	2.707	1.027	14.226	8.780	5.773	1.051	50.179	0.849
0.934	2.707	1.027	14.226	8.780	5.773	1.051	50.179	0.849
0.934	2.707	1.027	14.226	8.780	5.773	1.051	50.179	0.849
0.934	2.707	1.027	14.226	9.050	6.108	1.051	50.179	0.849
