P5_hand_rP4_whole_dist_traveled	P5_shoulder_rP4_whole_dist_traveled	P5_headP4_whole_dist_traveled	P5_hand_lP4_whole_dist_traveled	P5_shoulder_lP4_whole_dist_traveled	P5_elbow_rP4_whole_dist_traveled	P5_elbow_lP4_whole_dist_traveled
6.028	5.669	28.592	57.269	0.000	3.059	3.368
6.028	5.669	28.592	57.269	0.000	3.059	3.368
6.028	5.669	28.592	57.269	0.000	3.059	3.368
6.028	5.669	28.592	57.269	0.000	3.059	3.368
6.028	5.669	28.592	57.269	0.000	3.059	3.368
6.028	5.669	28.592	57.269	0.000	3.059	3.368
6.028	5.669	28.592	57.269	0.000	3.059	3.368
6.028	5.669	28.592	57.269	0.000	3.059	3.368
6.028	5.669	28.592	57.912	0.000	3.059	3.368
6.028	5.876	28.592	57.912	0.000	3.059	3.368
6.232	5.876	28.592	58.550	0.000	3.059	3.368
6.232	5.876	28.592	58.550	0.000	3.059	3.368
6.232	5.876	28.592	59.173	0.000	3.059	3.368
6.232	5.876	28.592	59.173	0.000	3.059	3.368
6.232	5.876	28.592	59.784	0.000	3.059	3.368
6.232	5.876	28.592	59.784	0.000	3.059	3.368
6.232	5.876	28.824	59.784	0.000	3.059	3.368
6.232	5.876	28.824	59.784	0.000	3.059	3.368
6.438	5.876	28.824	60.372	0.000	3.059	3.368
6.438	5.876	28.824	60.997	0.000	3.059	3.368
6.656	5.876	28.824	60.997	0.000	3.059	3.368
6.656	5.876	28.824	60.997	0.000	3.059	3.368
6.859	5.876	28.824	60.997	0.000	3.059	3.368
6.859	5.876	28.824	60.997	0.000	3.059	3.368
6.859	5.876	28.824	60.997	0.000	3.059	3.368
6.859	5.876	28.824	61.640	0.000	3.059	3.368
6.859	5.876	28.824	61.640	0.000	3.059	3.368
6.859	5.876	28.824	61.640	0.000	3.059	3.368
6.859	5.876	28.824	61.640	0.000	3.059	3.368
6.859	5.876	28.824	61.640	0.000	3.059	3.368
6.859	5.876	28.824	62.233	0.000	3.059	3.368
6.859	5.876	29.060	62.860	0.000	3.059	3.368
6.859	5.876	29.060	63.497	0.000	3.059	3.368
6.859	5.876	29.060	63.497	0.000	3.059	3.368
6.859	5.876	29.060	64.111	0.000	3.059	3.368
6.859	6.080	29.060	64.111	0.000	3.059	3.368
6.859	6.080	29.060	64.111	0.000	3.059	3.368
6.859	6.080	29.060	64.111	0.000	3.059	3.368
6.859	6.080	29.276	64.737	0.000	3.059	3.368
6.859	6.080	29.276	64.737	0.000	3.059	3.368
6.859	6.080	29.276	64.737	0.000	3.059	3.368
6.859	6.080	29.276	64.737	0.000	3.059	3.368
6.859	6.080	29.276	64.737	0.000	3.059	3.368
6.859	6.080	29.276	65.340	0.000	3.059	3.368
6.859	6.080	29.276	65.948	0.000	3.059	3.368
6.859	6.080	29.276	65.948	0.000	3.059	3.368
6.859	6.080	29.276	65.948	0.000	3.059	3.368
6.859	6.080	29.276	65.948	0.000	3.059	3.368
6.859	6.080	29.276	65.948	0.000	3.059	3.368
6.859	6.080	29.276	66.574	0.000	3.059	3.368
6.859	6.080	29.522	66.574	0.000	3.059	3.368
6.859	6.080	29.522	66.574	0.000	3.059	3.368
6.859	6.080	29.522	66.574	0.000	3.059	3.368
6.859	6.080	29.522	67.165	0.000	3.059	3.368
6.859	6.080	29.522	67.784	0.000	3.059	3.368
6.859	6.080	29.522	68.414	0.000	3.059	3.368
6.859	6.080	29.522	69.029	0.000	3.059	3.368
6.859	6.080	29.522	69.655	0.000	3.059	3.368
6.859	6.080	29.735	69.655	0.000	3.059	3.368
6.859	6.080	29.735	69.655	0.000	3.059	3.368
6.859	6.080	29.735	69.655	0.000	3.059	3.368
6.859	6.080	29.735	69.655	0.000	3.059	3.368
6.859	6.080	29.735	69.655	0.000	3.059	3.368
6.859	6.080	29.735	69.655	0.000	3.059	3.368
6.859	6.080	29.735	69.655	0.000	3.059	3.368
6.859	6.080	29.735	69.655	0.000	3.059	3.368
6.859	6.080	29.735	70.255	0.000	3.059	3.368
6.859	6.080	29.936	70.841	0.000	3.059	3.368
6.859	6.080	29.936	70.841	0.000	3.059	3.368
6.859	6.080	29.936	70.841	0.000	3.059	3.368
6.859	6.080	29.936	71.451	0.000	3.059	3.368
6.859	6.080	29.936	72.058	0.000	3.059	3.368
6.859	6.080	29.936	72.659	0.000	3.059	3.368
6.859	6.080	29.936	72.659	0.000	3.059	3.368
6.859	6.080	29.936	72.659	0.000	3.059	3.368
